address,city,state,zip,asking_price,beds,baths,sqft,hoa_monthly,property_type,mls_id,listing_url,market_area,source_zips
0 Tiffany Ct,Poinciana,FL,34758,58000,,,,,8,S5147381,https://www.redfin.com/FL/Poinciana/Tiffany-Ct-34758/home/199200749,poinciana,34758
Marlin Dr,Poinciana,FL,34759,58000,,,,35,8,R4911635,https://www.redfin.com/FL/Poinciana/Marlin-Dr-34759/home/46255376,poinciana,34759
407 Naples Ct,Poinciana,FL,34759,58000,,,,35,8,R4911618,https://www.redfin.com/FL/Poinciana/407-Naples-Ct-34759/home/46255026,poinciana,34759
7 Blue Quill Cir,Lake Wales,FL,33898,59000,1,1,572,244,10,K4903385,https://www.redfin.com/FL/Lake-Wales/7-Blue-Quill-Cir-33898/home/46097965,poinciana,33898
523 Elbridge Pl,Poinciana,FL,34758,59000,,,,,8,O6241625,https://www.redfin.com/FL/Poinciana/523-Elbridge-Pl-34758/home/195583915,poinciana,34758
0 W Beach Pkwy,Lake Wales,FL,33898,59900,,,,,8,P4937980,https://www.redfin.com/FL/Lake-Wales/W-Beach-Pkwy-33898/home/46203382,poinciana,33898
656 Reindeer Dr,Poinciana,FL,34759,59900,,,,34,8,O6417022,https://www.redfin.com/FL/Poinciana/656-Reindeer-Dr-34759/home/46212150,poinciana,34759
43420 Highway 27 #425,Davenport,FL,33837,60000,1,1,300,242,townhouse,O6428195,https://www.redfin.com/FL/Davenport/43420-Highway-27-33837/unit-425/home/46182983,poinciana,33837
N/a,Frostproof,FL,33843,60000,,,,,8,O6339982,https://www.redfin.com/FL/Frostproof/Unknown-33843/home/162626375,poinciana,33898
N/a,Frostproof,FL,33843,60600,,,,,8,O6383850,https://www.redfin.com/FL/Frostproof/Unknown-33843/home/162515212,poinciana,33898
7360 International Cir,Lake Wales,FL,33898,61000,1,1,770,125,10,K4903613,https://www.redfin.com/FL/Lake-Wales/7360-International-Cir-33898/home/46160148,poinciana,33898
245 Elm Ct,Poinciana,FL,34759,61000,,,,24,8,O6425735,https://www.redfin.com/FL/Poinciana/245-Elm-Ct-34759/home/46148995,poinciana,34759
22 Woodruff Way,Lake Wales,FL,33898,62500,1,1.5,660,226,10,K4903674,https://www.redfin.com/FL/Lake-Wales/22-Woodruff-Way-33898/home/46098109,poinciana,33898
43420 Highway 27 #320,Davenport,FL,33837,63000,1,1,300,242,townhouse,O6429911,https://www.redfin.com/FL/Davenport/43420-Highway-27-33837/unit-320/home/46182451,poinciana,33837
31 Stonefly Cir,Lake Wales,FL,33898,63000,1,1,616,226,10,K4903273,https://www.redfin.com/FL/Lake-Wales/31-Stone-Fly-Cir-33898/home/46097452,poinciana,33898
1327 & 1329 Hillsborough Dr,Poinciana,FL,34759,64000,,,,58,8,O6416062,https://www.redfin.com/FL/Poinciana/1327-Hillsborough-Dr-34759/home/46255331,poinciana,34759
204 Kingfish Way,Poinciana,FL,34759,64999,,,,83,8,S5153566,https://www.redfin.com/FL/Poinciana/204-Kingfish-Way-34759/home/46102732,poinciana,34759
,Lake Wales,FL,33898,65000,,,,,8,L4959906,https://www.redfin.com/FL/Lake-Wales/Undisclosed-address-33898/home/54700555,poinciana,33898
725 Leonardo Ct,Poinciana,FL,34758,65000,,,,35,8,S5139921,https://www.redfin.com/FL/Poinciana/725-Leonardo-Ct-34758/home/160419550,poinciana,34758
955 Cambridge Ct,Poinciana,FL,34758,65000,,,,25,8,G5103944,https://www.redfin.com/FL/Poinciana/955-Cambridge-Ct-34758/home/54688886,poinciana,34758
1406 Missouri Pl,Poinciana,FL,34759,65000,,,,35,8,O6425762,https://www.redfin.com/FL/Poinciana/1406-Missouri-Pl-34759/home/46254897,poinciana,34759
515 Bougainville Dr,Indian Lake Estates,FL,33855,66400,,,,,8,O6312977,https://www.redfin.com/FL/Indian-Lake-Estates/515-Bougainville-Dr-33855/home/46117354,poinciana,33898
7392 International Cir,Lake Wales,FL,33898,68500,1,1,400,125,10,P4938260,https://www.redfin.com/FL/Lake-Wales/7392-International-Cir-33898/home/46160226,poinciana,33898
114 W Murphy St,Davenport,FL,33837,69000,2,1,592,,single_family,S5154978,https://www.redfin.com/FL/Davenport/114-W-Murphy-St-33837/for-sale/46106697,poinciana,33837
